Split Seed,Depth of Tree,Mean Accuracy,Mean F1 Score,Mean Precision,Mean Recall
42,2,0.8800000000000001,0.8558856568268333,0.8923931623931625,0.848845598845599
42,3,0.8800000000000001,0.8558856568268333,0.8923931623931625,0.848845598845599
42,4,0.8533333333333335,0.8288311060919756,0.8521056721056721,0.8345598845598847
42,5,0.8399999999999999,0.8097741702741704,0.8519530469530471,0.7928932178932178
42,6,0.8399999999999999,0.8129408369408371,0.8482167832167832,0.8345598845598847
42,7,0.8533333333333335,0.8288311060919756,0.8521056721056721,0.8345598845598847
42,8,0.8533333333333335,0.8288311060919756,0.8521056721056721,0.8345598845598847
42,9,0.8533333333333335,0.8288311060919756,0.8521056721056721,0.8345598845598847
42,10,0.8533333333333335,0.8288311060919756,0.8521056721056721,0.8345598845598847
42,11,0.8533333333333335,0.8288311060919756,0.8521056721056721,0.8345598845598847
42,12,0.8533333333333335,0.8288311060919756,0.8521056721056721,0.8345598845598847
42,13,0.8533333333333335,0.8288311060919756,0.8521056721056721,0.8345598845598847
42,14,0.8533333333333335,0.8288311060919756,0.8521056721056721,0.8345598845598847
42,15,0.8533333333333335,0.8288311060919756,0.8521056721056721,0.8345598845598847
42,16,0.8533333333333335,0.8288311060919756,0.8521056721056721,0.8345598845598847
42,17,0.8533333333333335,0.8288311060919756,0.8521056721056721,0.8345598845598847
42,18,0.8533333333333335,0.8288311060919756,0.8521056721056721,0.8345598845598847
42,19,0.8533333333333335,0.8288311060919756,0.8521056721056721,0.8345598845598847
42,20,0.8533333333333335,0.8288311060919756,0.8521056721056721,0.8345598845598847
