Split Seed,Depth of Tree,Mean Accuracy,Mean F1 Score,Mean Precision,Mean Recall
42,2,0.6666666666666667,0.6510868079289132,0.6618253968253968,0.6598015873015873
42,3,0.6933333333333334,0.6822789628671982,0.7079256854256855,0.6980158730158731
42,4,0.72,0.7094218200100553,0.7253066378066377,0.7216269841269842
42,5,0.72,0.7101448396804433,0.7184920634920634,0.7205158730158729
42,6,0.72,0.7101448396804433,0.7184920634920634,0.7205158730158729
42,7,0.72,0.7101448396804433,0.7184920634920634,0.7205158730158729
42,8,0.72,0.7101448396804433,0.7184920634920634,0.7205158730158729
42,9,0.72,0.7101448396804433,0.7184920634920634,0.7205158730158729
42,10,0.72,0.7101448396804433,0.7184920634920634,0.7205158730158729
42,11,0.72,0.7101448396804433,0.7184920634920634,0.7205158730158729
42,12,0.72,0.7101448396804433,0.7184920634920634,0.7205158730158729
42,13,0.72,0.7101448396804433,0.7184920634920634,0.7205158730158729
42,14,0.72,0.7101448396804433,0.7184920634920634,0.7205158730158729
42,15,0.72,0.7101448396804433,0.7184920634920634,0.7205158730158729
42,16,0.72,0.7101448396804433,0.7184920634920634,0.7205158730158729
42,17,0.72,0.7101448396804433,0.7184920634920634,0.7205158730158729
42,18,0.72,0.7101448396804433,0.7184920634920634,0.7205158730158729
42,19,0.72,0.7101448396804433,0.7184920634920634,0.7205158730158729
42,20,0.72,0.7101448396804433,0.7184920634920634,0.7205158730158729
