Split Seed,N_estimators,Depth of Tree,Mean Accuracy,Mean F1 Score,Mean Precision,Mean Recall
42,10,2,0.8533333333333333,0.6659013289448072,0.7840476190476191,0.6754329004329005
42,10,3,0.8533333333333333,0.6670557703166399,0.7494072594072595,0.6927405927405929
42,10,4,0.8266666666666668,0.638070263070263,0.7244072594072595,0.6760739260739261
42,10,5,0.8266666666666668,0.638070263070263,0.7244072594072595,0.6760739260739261
42,10,6,0.8266666666666668,0.638070263070263,0.7244072594072595,0.6760739260739261
42,10,7,0.8266666666666668,0.638070263070263,0.7244072594072595,0.6760739260739261
42,10,8,0.8266666666666668,0.638070263070263,0.7244072594072595,0.6760739260739261
42,10,9,0.8266666666666668,0.638070263070263,0.7244072594072595,0.6760739260739261
42,10,10,0.8266666666666668,0.638070263070263,0.7244072594072595,0.6760739260739261
42,10,11,0.8266666666666668,0.638070263070263,0.7244072594072595,0.6760739260739261
42,10,12,0.8266666666666668,0.638070263070263,0.7244072594072595,0.6760739260739261
42,10,13,0.8266666666666668,0.638070263070263,0.7244072594072595,0.6760739260739261
42,10,14,0.8266666666666668,0.638070263070263,0.7244072594072595,0.6760739260739261
42,10,15,0.8266666666666668,0.638070263070263,0.7244072594072595,0.6760739260739261
42,10,16,0.8266666666666668,0.638070263070263,0.7244072594072595,0.6760739260739261
42,10,17,0.8266666666666668,0.638070263070263,0.7244072594072595,0.6760739260739261
42,10,18,0.8266666666666668,0.638070263070263,0.7244072594072595,0.6760739260739261
42,10,19,0.8266666666666668,0.638070263070263,0.7244072594072595,0.6760739260739261
42,10,20,0.8266666666666668,0.638070263070263,0.7244072594072595,0.6760739260739261
42,50,2,0.8666666666666666,0.6931723204331901,0.7924725274725275,0.7268315018315018
42,50,3,0.8666666666666666,0.6931723204331901,0.7924725274725275,0.7268315018315018
42,50,4,0.8666666666666666,0.6931723204331901,0.7924725274725275,0.7268315018315018
42,50,5,0.8533333333333333,0.6777149517149518,0.7774725274725276,0.7184981684981686
42,50,6,0.8400000000000001,0.6641868131868132,0.7674725274725275,0.7101648351648352
42,50,7,0.8400000000000001,0.6641868131868132,0.7674725274725275,0.7101648351648352
42,50,8,0.8400000000000001,0.6641868131868132,0.7674725274725275,0.7101648351648352
42,50,9,0.8400000000000001,0.6641868131868132,0.7674725274725275,0.7101648351648352
42,50,10,0.8400000000000001,0.6641868131868132,0.7674725274725275,0.7101648351648352
42,50,11,0.8400000000000001,0.6641868131868132,0.7674725274725275,0.7101648351648352
42,50,12,0.8400000000000001,0.6641868131868132,0.7674725274725275,0.7101648351648352
42,50,13,0.8400000000000001,0.6641868131868132,0.7674725274725275,0.7101648351648352
42,50,14,0.8400000000000001,0.6641868131868132,0.7674725274725275,0.7101648351648352
42,50,15,0.8400000000000001,0.6641868131868132,0.7674725274725275,0.7101648351648352
42,50,16,0.8400000000000001,0.6641868131868132,0.7674725274725275,0.7101648351648352
42,50,17,0.8400000000000001,0.6641868131868132,0.7674725274725275,0.7101648351648352
42,50,18,0.8400000000000001,0.6641868131868132,0.7674725274725275,0.7101648351648352
42,50,19,0.8400000000000001,0.6641868131868132,0.7674725274725275,0.7101648351648352
42,50,20,0.8400000000000001,0.6641868131868132,0.7674725274725275,0.7101648351648352
42,100,2,0.8666666666666666,0.6931723204331901,0.7924725274725275,0.7268315018315018
42,100,3,0.8666666666666666,0.6931723204331901,0.7924725274725275,0.7268315018315018
42,100,4,0.8666666666666666,0.6931723204331901,0.7924725274725275,0.7268315018315018
42,100,5,0.8666666666666666,0.6931723204331901,0.7924725274725275,0.7268315018315018
42,100,6,0.8533333333333333,0.6777149517149518,0.7774725274725276,0.7184981684981686
42,100,7,0.8533333333333333,0.6777149517149518,0.7774725274725276,0.7184981684981686
42,100,8,0.8533333333333333,0.6777149517149518,0.7774725274725276,0.7184981684981686
42,100,9,0.8533333333333333,0.6777149517149518,0.7774725274725276,0.7184981684981686
42,100,10,0.8533333333333333,0.6777149517149518,0.7774725274725276,0.7184981684981686
42,100,11,0.8533333333333333,0.6777149517149518,0.7774725274725276,0.7184981684981686
42,100,12,0.8533333333333333,0.6777149517149518,0.7774725274725276,0.7184981684981686
42,100,13,0.8533333333333333,0.6777149517149518,0.7774725274725276,0.7184981684981686
42,100,14,0.8533333333333333,0.6777149517149518,0.7774725274725276,0.7184981684981686
42,100,15,0.8533333333333333,0.6777149517149518,0.7774725274725276,0.7184981684981686
42,100,16,0.8533333333333333,0.6777149517149518,0.7774725274725276,0.7184981684981686
42,100,17,0.8533333333333333,0.6777149517149518,0.7774725274725276,0.7184981684981686
42,100,18,0.8533333333333333,0.6777149517149518,0.7774725274725276,0.7184981684981686
42,100,19,0.8533333333333333,0.6777149517149518,0.7774725274725276,0.7184981684981686
42,100,20,0.8533333333333333,0.6777149517149518,0.7774725274725276,0.7184981684981686
42,150,2,0.8666666666666666,0.6931723204331901,0.7924725274725275,0.7268315018315018
42,150,3,0.8666666666666666,0.6931723204331901,0.7924725274725275,0.7268315018315018
42,150,4,0.8666666666666666,0.6931723204331901,0.7924725274725275,0.7268315018315018
42,150,5,0.8666666666666666,0.6931723204331901,0.7924725274725275,0.7268315018315018
42,150,6,0.8533333333333333,0.6777149517149518,0.7774725274725276,0.7184981684981686
42,150,7,0.8533333333333333,0.6777149517149518,0.7774725274725276,0.7184981684981686
42,150,8,0.8533333333333333,0.6777149517149518,0.7774725274725276,0.7184981684981686
42,150,9,0.8533333333333333,0.6777149517149518,0.7774725274725276,0.7184981684981686
42,150,10,0.8533333333333333,0.6777149517149518,0.7774725274725276,0.7184981684981686
42,150,11,0.8533333333333333,0.6777149517149518,0.7774725274725276,0.7184981684981686
42,150,12,0.8533333333333333,0.6777149517149518,0.7774725274725276,0.7184981684981686
42,150,13,0.8533333333333333,0.6777149517149518,0.7774725274725276,0.7184981684981686
