Split Seed,Shuffle Seed,Depth of Tree,Mean Accuracy,Mean F1 Score,Mean Precision,Mean Recall
42,1,2,0.8933333333333333,0.8612929309439608,0.9030341880341879,0.8566666666666667
42,1,3,0.8800000000000001,0.8479595976106273,0.8905341880341879,0.8441666666666666
42,1,4,0.8533333333333333,0.8083658008658009,0.8667063492063491,0.8241666666666667
42,1,5,0.8533333333333333,0.8286592634418721,0.84745670995671,0.8304365079365079
42,1,6,0.8533333333333335,0.8210526685590624,0.854538517038517,0.8271031746031745
42,1,7,0.8399999999999999,0.8088612836438923,0.8487484737484738,0.8118253968253969
42,1,8,0.8399999999999999,0.8088612836438923,0.8487484737484738,0.8118253968253969
42,1,9,0.8399999999999999,0.8088612836438923,0.8487484737484738,0.8118253968253969
42,1,10,0.8399999999999999,0.8088612836438923,0.8487484737484738,0.8118253968253969
42,1,11,0.8399999999999999,0.8088612836438923,0.8487484737484738,0.8118253968253969
42,1,12,0.8399999999999999,0.8088612836438923,0.8487484737484738,0.8118253968253969
42,1,13,0.8399999999999999,0.8088612836438923,0.8487484737484738,0.8118253968253969
42,1,14,0.8399999999999999,0.8088612836438923,0.8487484737484738,0.8118253968253969
42,1,15,0.8399999999999999,0.8088612836438923,0.8487484737484738,0.8118253968253969
42,1,16,0.8399999999999999,0.8088612836438923,0.8487484737484738,0.8118253968253969
42,1,17,0.8399999999999999,0.8088612836438923,0.8487484737484738,0.8118253968253969
42,1,18,0.8399999999999999,0.8088612836438923,0.8487484737484738,0.8118253968253969
42,1,19,0.8399999999999999,0.8088612836438923,0.8487484737484738,0.8118253968253969
42,1,20,0.8399999999999999,0.8088612836438923,0.8487484737484738,0.8118253968253969
42,2,2,0.9066666666666666,0.8812666092077857,0.8797979797979799,0.9071478521478523
42,2,3,0.8933333333333333,0.8669125422221396,0.8697979797979798,0.8904811854811856
42,2,4,0.8133333333333335,0.7878692201518289,0.7912265512265513,0.8278646353646353
42,2,5,0.8,0.7731313131313131,0.7894841269841271,0.807097347097347
42,2,6,0.7733333333333333,0.7439427243909678,0.7630158730158731,0.784488011988012
42,2,7,0.8,0.7721149464570518,0.7851190476190476,0.8064660339660339
42,2,8,0.8,0.7721149464570518,0.7851190476190476,0.8064660339660339
42,2,9,0.8,0.7721149464570518,0.7851190476190476,0.8064660339660339
