Split Seed,Shuffle Seed,Depth of Tree,Mean Accuracy,Mean F1 Score,Mean Precision,Mean Recall
42,1,2,0.9333333333333332,0.9274114774114773,0.9571428571428571,0.9233333333333332
42,1,3,0.9333333333333332,0.9274114774114773,0.9571428571428571,0.9233333333333332
42,1,4,0.9333333333333332,0.9324908424908426,0.9515873015873015,0.9344444444444445
42,1,5,0.9466666666666667,0.9456894956894957,0.9604761904761905,0.9455555555555556
42,1,6,0.9466666666666667,0.9456894956894957,0.9604761904761905,0.9455555555555556
42,1,7,0.9466666666666667,0.9456894956894957,0.9604761904761905,0.9455555555555556
42,1,8,0.9466666666666667,0.9456894956894957,0.9604761904761905,0.9455555555555556
42,1,9,0.9466666666666667,0.9456894956894957,0.9604761904761905,0.9455555555555556
42,1,10,0.9466666666666667,0.9456894956894957,0.9604761904761905,0.9455555555555556
42,1,11,0.9466666666666667,0.9456894956894957,0.9604761904761905,0.9455555555555556
42,1,12,0.9466666666666667,0.9456894956894957,0.9604761904761905,0.9455555555555556
42,1,13,0.9466666666666667,0.9456894956894957,0.9604761904761905,0.9455555555555556
42,1,14,0.9466666666666667,0.9456894956894957,0.9604761904761905,0.9455555555555556
42,1,15,0.9466666666666667,0.9456894956894957,0.9604761904761905,0.9455555555555556
42,1,16,0.9466666666666667,0.9456894956894957,0.9604761904761905,0.9455555555555556
42,1,17,0.9466666666666667,0.9456894956894957,0.9604761904761905,0.9455555555555556
42,1,18,0.9466666666666667,0.9456894956894957,0.9604761904761905,0.9455555555555556
42,1,19,0.9466666666666667,0.9456894956894957,0.9604761904761905,0.9455555555555556
42,1,20,0.9466666666666667,0.9456894956894957,0.9604761904761905,0.9455555555555556
42,2,2,0.9466666666666667,0.9304761904761906,0.9304761904761903,0.9304761904761903
42,2,3,0.9200000000000002,0.8995767195767197,0.9004761904761903,0.9054761904761903
42,2,4,0.9200000000000002,0.8995767195767197,0.9004761904761903,0.9054761904761903
42,2,5,0.9200000000000002,0.8995767195767197,0.9004761904761903,0.9054761904761903
42,2,6,0.9200000000000002,0.8995767195767197,0.9004761904761903,0.9054761904761903
42,2,7,0.9200000000000002,0.8995767195767197,0.9004761904761903,0.9054761904761903
42,2,8,0.9200000000000002,0.8995767195767197,0.9004761904761903,0.9054761904761903
42,2,9,0.9200000000000002,0.8995767195767197,0.9004761904761903,0.9054761904761903
42,2,10,0.9200000000000002,0.8995767195767197,0.9004761904761903,0.9054761904761903
42,2,11,0.9200000000000002,0.8995767195767197,0.9004761904761903,0.9054761904761903
42,2,12,0.9200000000000002,0.8995767195767197,0.9004761904761903,0.9054761904761903
42,2,13,0.9200000000000002,0.8995767195767197,0.9004761904761903,0.9054761904761903
42,2,14,0.9200000000000002,0.8995767195767197,0.9004761904761903,0.9054761904761903
42,2,15,0.9200000000000002,0.8995767195767197,0.9004761904761903,0.9054761904761903
42,2,16,0.9200000000000002,0.8995767195767197,0.9004761904761903,0.9054761904761903
42,2,17,0.9200000000000002,0.8995767195767197,0.9004761904761903,0.9054761904761903
42,2,18,0.9200000000000002,0.8995767195767197,0.9004761904761903,0.9054761904761903
42,2,19,0.9200000000000002,0.8995767195767197,0.9004761904761903,0.9054761904761903
42,2,20,0.9200000000000002,0.8995767195767197,0.9004761904761903,0.9054761904761903
42,3,2,0.8666666666666668,0.8048532948532948,0.8774603174603175,0.8231746031746031
42,3,3,0.8800000000000001,0.8527835780776958,0.8833862433862434,0.8565079365079364
42,3,4,0.8800000000000001,0.8527835780776958,0.8833862433862434,0.8565079365079364
42,3,5,0.8800000000000001,0.8527835780776958,0.8833862433862434,0.8565079365079364
42,3,6,0.8800000000000001,0.8527835780776958,0.8833862433862434,0.8565079365079364
42,3,7,0.8800000000000001,0.8527835780776958,0.8833862433862434,0.8565079365079364
42,3,8,0.8800000000000001,0.8527835780776958,0.8833862433862434,0.8565079365079364
42,3,9,0.8800000000000001,0.8527835780776958,0.8833862433862434,0.8565079365079364
42,3,10,0.8800000000000001,0.8527835780776958,0.8833862433862434,0.8565079365079364
42,3,11,0.8800000000000001,0.8527835780776958,0.8833862433862434,0.8565079365079364
42,3,12,0.8800000000000001,0.8527835780776958,0.8833862433862434,0.8565079365079364
42,3,13,0.8800000000000001,0.8527835780776958,0.8833862433862434,0.8565079365079364
42,3,14,0.8800000000000001,0.8527835780776958,0.8833862433862434,0.8565079365079364
42,3,15,0.8800000000000001,0.8527835780776958,0.8833862433862434,0.8565079365079364
42,3,16,0.8800000000000001,0.8527835780776958,0.8833862433862434,0.8565079365079364
42,3,17,0.8800000000000001,0.8527835780776958,0.8833862433862434,0.8565079365079364
42,3,18,0.8800000000000001,0.8527835780776958,0.8833862433862434,0.8565079365079364
42,3,19,0.8800000000000001,0.8527835780776958,0.8833862433862434,0.8565079365079364
42,3,20,0.8800000000000001,0.8527835780776958,0.8833862433862434,0.8565079365079364
42,4,2,0.96,0.9565319865319865,0.9622222222222223,0.9644444444444444
42,4,3,0.9466666666666667,0.9430639730639729,0.9511111111111112,0.9511111111111109
42,4,4,0.9466666666666667,0.9430639730639729,0.9511111111111112,0.9511111111111109
42,4,5,0.9466666666666667,0.9430639730639729,0.9511111111111112,0.9511111111111109
42,4,6,0.9466666666666667,0.9430639730639729,0.9511111111111112,0.9511111111111109
42,4,7,0.9466666666666667,0.9430639730639729,0.9511111111111112,0.9511111111111109
42,4,8,0.9466666666666667,0.9430639730639729,0.9511111111111112,0.9511111111111109
42,4,9,0.9466666666666667,0.9430639730639729,0.9511111111111112,0.9511111111111109
42,4,10,0.9466666666666667,0.9430639730639729,0.9511111111111112,0.9511111111111109
42,4,11,0.9466666666666667,0.9430639730639729,0.9511111111111112,0.9511111111111109
42,4,12,0.9466666666666667,0.9430639730639729,0.9511111111111112,0.9511111111111109
42,4,13,0.9466666666666667,0.9430639730639729,0.9511111111111112,0.9511111111111109
42,4,14,0.9466666666666667,0.9430639730639729,0.9511111111111112,0.9511111111111109
42,4,15,0.9466666666666667,0.9430639730639729,0.9511111111111112,0.9511111111111109
42,4,16,0.9466666666666667,0.9430639730639729,0.9511111111111112,0.9511111111111109
42,4,17,0.9466666666666667,0.9430639730639729,0.9511111111111112,0.9511111111111109
42,4,18,0.9466666666666667,0.9430639730639729,0.9511111111111112,0.9511111111111109
42,4,19,0.9466666666666667,0.9430639730639729,0.9511111111111112,0.9511111111111109
42,4,20,0.9466666666666667,0.9430639730639729,0.9511111111111112,0.9511111111111109
42,5,2,0.8933333333333333,0.8714407814407815,0.8965873015873015,0.8760317460317459
42,5,3,0.9066666666666666,0.8895889295889295,0.9221428571428572,0.8926984126984128
42,5,4,0.8933333333333333,0.8714407814407815,0.8965873015873015,0.8760317460317459
42,5,5,0.8933333333333333,0.8714407814407815,0.8965873015873015,0.8760317460317459
42,5,6,0.8933333333333333,0.8714407814407815,0.8965873015873015,0.8760317460317459
42,5,7,0.8933333333333333,0.8714407814407815,0.8965873015873015,0.8760317460317459
42,5,8,0.8933333333333333,0.8714407814407815,0.8965873015873015,0.8760317460317459
42,5,9,0.8933333333333333,0.8714407814407815,0.8965873015873015,0.8760317460317459
42,5,10,0.8933333333333333,0.8714407814407815,0.8965873015873015,0.8760317460317459
42,5,11,0.8933333333333333,0.8714407814407815,0.8965873015873015,0.8760317460317459
42,5,12,0.8933333333333333,0.8714407814407815,0.8965873015873015,0.8760317460317459
42,5,13,0.8933333333333333,0.8714407814407815,0.8965873015873015,0.8760317460317459
42,5,14,0.8933333333333333,0.8714407814407815,0.8965873015873015,0.8760317460317459
42,5,15,0.8933333333333333,0.8714407814407815,0.8965873015873015,0.8760317460317459
42,5,16,0.8933333333333333,0.8714407814407815,0.8965873015873015,0.8760317460317459
42,5,17,0.8933333333333333,0.8714407814407815,0.8965873015873015,0.8760317460317459
42,5,18,0.8933333333333333,0.8714407814407815,0.8965873015873015,0.8760317460317459
42,5,19,0.8933333333333333,0.8714407814407815,0.8965873015873015,0.8760317460317459
42,5,20,0.8933333333333333,0.8714407814407815,0.8965873015873015,0.8760317460317459
42,6,2,0.8933333333333333,0.8758644474433949,0.912063492063492,0.8782539682539682
42,6,3,0.8933333333333333,0.883257613845849,0.9056084656084655,0.9017989417989417
42,6,4,0.8933333333333333,0.883257613845849,0.9056084656084655,0.9017989417989417
42,6,5,0.8933333333333333,0.883257613845849,0.9056084656084655,0.9017989417989417
42,6,6,0.8933333333333333,0.883257613845849,0.9056084656084655,0.9017989417989417
42,6,7,0.8933333333333333,0.883257613845849,0.9056084656084655,0.9017989417989417
42,6,8,0.8933333333333333,0.883257613845849,0.9056084656084655,0.9017989417989417
42,6,9,0.8933333333333333,0.883257613845849,0.9056084656084655,0.9017989417989417
42,6,10,0.8933333333333333,0.883257613845849,0.9056084656084655,0.9017989417989417
42,6,11,0.8933333333333333,0.883257613845849,0.9056084656084655,0.9017989417989417
42,6,12,0.8933333333333333,0.883257613845849,0.9056084656084655,0.9017989417989417
42,6,13,0.8933333333333333,0.883257613845849,0.9056084656084655,0.9017989417989417
42,6,14,0.8933333333333333,0.883257613845849,0.9056084656084655,0.9017989417989417
42,6,15,0.8933333333333333,0.883257613845849,0.9056084656084655,0.9017989417989417
42,6,16,0.8933333333333333,0.883257613845849,0.9056084656084655,0.9017989417989417
42,6,17,0.8933333333333333,0.883257613845849,0.9056084656084655,0.9017989417989417
42,6,18,0.8933333333333333,0.883257613845849,0.9056084656084655,0.9017989417989417
42,6,19,0.8933333333333333,0.883257613845849,0.9056084656084655,0.9017989417989417
42,6,20,0.8933333333333333,0.883257613845849,0.9056084656084655,0.9017989417989417
42,7,2,0.9066666666666666,0.908013468013468,0.9155555555555555,0.9187301587301586
42,7,3,0.8933333333333333,0.887003367003367,0.90984126984127,0.8987301587301587
42,7,4,0.9066666666666666,0.9047522847522848,0.9177777777777779,0.9153968253968255
42,7,5,0.9066666666666666,0.9047522847522848,0.9177777777777779,0.9153968253968255
42,7,6,0.9066666666666666,0.9047522847522848,0.9177777777777779,0.9153968253968255
42,7,7,0.9066666666666666,0.9047522847522848,0.9177777777777779,0.9153968253968255
