Model,Split Seed,Shuffle Seed,Max Depth,Accuracy_train,F1 Score_train,Precision_train,Recall_Train
1,42,1,5,0.9216867469879518,0.9214558689717924,0.9308510638297872,0.9235294117647059
2,42,2,3,0.9397590361445783,0.9397502903600465,0.9413647606576458,0.9405954974582426
3,42,3,2,0.8072289156626506,0.8058479532163743,0.8120088954781319,0.8056644880174292
4,42,4,4,0.9036144578313253,0.9034883720930231,0.9039720646006111,0.903267973856209
5,42,5,4,0.8674698795180723,0.8669871794871795,0.8697435897435897,0.8665214233841685
6,42,6,4,0.963855421686747,0.9637237762237763,0.967032967032967,0.962962962962963
7,42,7,4,0.9759036144578314,0.9758475192783356,0.9775280898876404,0.9753086419753086
8,42,8,4,0.9397590361445783,0.939327485380117,0.9473684210526316,0.9382716049382716
9,42,9,3,0.8313253012048193,0.8311046511627906,0.8356043956043956,0.8326797385620914
10,42,10,3,0.9096385542168675,0.909477587523176,0.9104020979020979,0.9091503267973856
11,42,11,4,0.8373493975903614,0.8347040383551539,0.853094362745098,0.8347857661583151
12,42,12,3,0.927710843373494,0.9276688453159041,0.9308332117320881,0.9288307915758895
13,42,13,4,0.9759036144578314,0.9759036144578312,0.9764705882352941,0.9764705882352941
14,42,14,3,0.891566265060241,0.8915032679738562,0.894498759667299,0.8926652142338416
15,42,15,5,1.0,1.0,1.0,1.0
16,42,16,5,1.0,1.0,1.0,1.0
17,42,17,2,0.7891566265060241,0.7889651665395373,0.7890988372093023,0.788888888888889
18,42,18,4,0.9337349397590361,0.9331894186089057,0.9427083333333333,0.9320987654320987
19,42,19,3,0.8734939759036144,0.8724525264351836,0.8809523809523809,0.8718228031953522
20,42,20,5,1.0,1.0,1.0,1.0
21,42,21,5,0.9457831325301205,0.9457338999673097,0.95,0.9470588235294117
22,42,22,2,0.8674698795180723,0.867296511627907,0.8677433435181143,0.8671023965141612
23,42,23,3,0.9337349397590361,0.9336747666267117,0.9338662790697674,0.9335511982570806
24,42,24,4,0.9578313253012049,0.9578175481903656,0.9577526132404182,0.9579520697167756
25,42,25,2,0.7710843373493976,0.7694444444444444,0.7750926612305411,0.7694989106753813
26,42,26,4,0.9759036144578314,0.9759036144578312,0.9764705882352941,0.9764705882352941
27,42,27,2,0.8192771084337349,0.8179824561403508,0.8243143068939955,0.8177196804647785
28,42,28,5,1.0,1.0,1.0,1.0
29,42,29,3,0.8253012048192772,0.8234495910807936,0.8462009803921569,0.8282498184458968
30,42,30,2,0.7831325301204819,0.7823426573426573,0.7846153846153847,0.7821350762527233
31,42,31,3,0.8795180722891566,0.8795180722891566,0.8800290486564997,0.8800290486564997
32,42,32,6,0.963855421686747,0.9638501742160279,0.9655172413793103,0.9647058823529412
33,42,33,2,0.8132530120481928,0.8107740393454679,0.8379342431761787,0.816485112563544
34,42,34,4,0.9036144578313253,0.9033900771133421,0.9110325526587126,0.9053013798111837
35,42,35,3,0.8614457831325302,0.8613199665831245,0.8614825581395349,0.8612200435729848
36,42,36,2,0.8674698795180723,0.8674698795180723,0.8679738562091504,0.8679738562091504
37,42,37,4,0.8855421686746988,0.8833018833018833,0.9086538461538461,0.882716049382716
38,42,38,4,1.0,1.0,1.0,1.0
39,42,39,3,0.927710843373494,0.9277003484320558,0.9292885202968136,0.9285403050108932
40,42,40,3,0.8855421686746988,0.8854382332643203,0.885610465116279,0.8853304284676834
41,42,41,2,0.7469879518072289,0.7451754385964913,0.7504818383988139,0.7453885257806827
42,42,42,2,0.8313253012048193,0.8311046511627906,0.8315146224356176,0.8309368191721133
43,42,43,4,0.891566265060241,0.8914244186046512,0.8964102564102564,0.892955700798838
44,42,44,2,0.7831325301204819,0.7826276735050195,0.7837443455420984,0.7824255628177197
45,42,45,3,0.8614457831325302,0.8613199665831245,0.8614825581395349,0.8612200435729848
46,42,46,4,0.9337349397590361,0.9337325349301397,0.9339430894308942,0.9341321713870734
