Split Seed,N_estimators,Depth of Tree,Mean Accuracy,Mean F1 Score,Mean Precision,Mean Recall
42,10,2,0.8933333333333333,0.8665555555555556,0.9235897435897437,0.8547619047619047
42,10,3,0.9333333333333333,0.9197666092077859,0.9361965811965811,0.921067821067821
42,10,4,0.8666666666666666,0.8402133495794823,0.8726107226107226,0.848051948051948
42,10,5,0.9200000000000002,0.9015487159898925,0.9221056721056721,0.896067821067821
42,10,6,0.9066666666666668,0.8829151756172218,0.897105672105672,0.8877344877344877
42,10,7,0.8800000000000001,0.8557658543502533,0.8693278943278944,0.8609487734487733
42,10,8,0.8666666666666668,0.8429184076792773,0.8664310689310689,0.8530122655122655
42,10,9,0.8933333333333333,0.874707729468599,0.8871886446886446,0.8891233766233766
42,10,10,0.8933333333333333,0.874707729468599,0.8871886446886446,0.8891233766233766
42,10,11,0.9066666666666668,0.8879187831208292,0.9028632478632478,0.9016233766233765
42,10,12,0.9066666666666668,0.8879187831208292,0.9028632478632478,0.9016233766233765
42,10,13,0.9066666666666668,0.8879187831208292,0.9028632478632478,0.9016233766233765
42,10,14,0.9066666666666668,0.8879187831208292,0.9028632478632478,0.9016233766233765
42,10,15,0.9066666666666668,0.8879187831208292,0.9028632478632478,0.9016233766233765
42,10,16,0.9066666666666668,0.8879187831208292,0.9028632478632478,0.9016233766233765
42,10,17,0.9066666666666668,0.8879187831208292,0.9028632478632478,0.9016233766233765
42,10,18,0.9066666666666668,0.8879187831208292,0.9028632478632478,0.9016233766233765
42,10,19,0.9066666666666668,0.8879187831208292,0.9028632478632478,0.9016233766233765
42,10,20,0.9066666666666668,0.8879187831208292,0.9028632478632478,0.9016233766233765
42,50,2,0.9200000000000002,0.8929808949220714,0.938034188034188,0.8746031746031747
42,50,3,0.9200000000000002,0.9037917989938451,0.9395299145299145,0.894047619047619
42,50,4,0.9333333333333333,0.9170060847081307,0.9478632478632478,0.9051587301587303
42,50,5,0.9200000000000002,0.9037917989938451,0.9395299145299145,0.894047619047619
42,50,6,0.9200000000000002,0.9037917989938451,0.9395299145299145,0.894047619047619
42,50,7,0.9066666666666666,0.8902203704224165,0.9328632478632478,0.8829365079365079
42,50,8,0.9066666666666666,0.8883344302756069,0.9137723387723387,0.8849567099567099
42,50,9,0.8933333333333333,0.8715868300497457,0.9078632478632478,0.8746031746031747
42,50,10,0.8933333333333333,0.8715868300497457,0.9078632478632478,0.8746031746031747
42,50,11,0.8933333333333333,0.8715868300497457,0.9078632478632478,0.8746031746031747
42,50,12,0.8933333333333333,0.8715868300497457,0.9078632478632478,0.8746031746031747
42,50,13,0.8933333333333333,0.8715868300497457,0.9078632478632478,0.8746031746031747
42,50,14,0.8933333333333333,0.8715868300497457,0.9078632478632478,0.8746031746031747
42,50,15,0.8933333333333333,0.8715868300497457,0.9078632478632478,0.8746031746031747
42,50,16,0.8933333333333333,0.8715868300497457,0.9078632478632478,0.8746031746031747
