Split Seed,Depth of Tree,Mean Accuracy,Mean F1 Score,Mean Precision,Mean Recall
42,2,0.8933333333333333,0.8673809523809524,0.9026515151515152,0.8625
42,3,0.9066666666666666,0.8995313666157656,0.8928571428571429,0.9202777777777778
42,4,0.8933333333333333,0.8719377990430622,0.8758333333333332,0.8713888888888889
42,5,0.9199999999999999,0.9037698412698413,0.9037698412698413,0.9037698412698413
42,6,0.9199999999999999,0.9019377990430624,0.9058333333333334,0.9013888888888889
42,7,0.8800000000000001,0.8556746031746032,0.8701839826839827,0.8504365079365079
42,8,0.9066666666666666,0.8860647831700463,0.8967424242424243,0.8813888888888888
42,9,0.9066666666666666,0.8860647831700463,0.8967424242424243,0.8813888888888888
42,10,0.8800000000000001,0.8556746031746032,0.8701839826839827,0.8504365079365079
42,11,0.8800000000000001,0.8556746031746032,0.8701839826839827,0.8504365079365079
42,12,0.8800000000000001,0.8556746031746032,0.8701839826839827,0.8504365079365079
42,13,0.8800000000000001,0.8556746031746032,0.8701839826839827,0.8504365079365079
42,14,0.8800000000000001,0.8556746031746032,0.8701839826839827,0.8504365079365079
42,15,0.8800000000000001,0.8556746031746032,0.8701839826839827,0.8504365079365079
42,16,0.8800000000000001,0.8556746031746032,0.8701839826839827,0.8504365079365079
42,17,0.8800000000000001,0.8556746031746032,0.8701839826839827,0.8504365079365079
42,18,0.8800000000000001,0.8556746031746032,0.8701839826839827,0.8504365079365079
42,19,0.8800000000000001,0.8556746031746032,0.8701839826839827,0.8504365079365079
42,20,0.8800000000000001,0.8556746031746032,0.8701839826839827,0.8504365079365079
