Split Seed,Depth of Tree,Mean Accuracy,Mean F1 Score,Mean Precision,Mean Recall
42,2,0.9199999999999999,0.9176190476190478,0.9360317460317461,0.9238095238095239
42,3,0.9199999999999999,0.9176190476190478,0.9360317460317461,0.9238095238095239
42,4,0.8933333333333333,0.8942202242202242,0.9019047619047619,0.9015873015873016
42,5,0.8933333333333333,0.8952747252747253,0.9019047619047619,0.9031746031746032
42,6,0.9066666666666666,0.9054090354090354,0.9153968253968253,0.9142857142857143
42,7,0.8933333333333333,0.8952747252747253,0.9019047619047619,0.9031746031746032
42,8,0.9066666666666666,0.9054090354090354,0.9153968253968253,0.9142857142857143
42,9,0.9066666666666666,0.9054090354090354,0.9153968253968253,0.9142857142857143
42,10,0.9066666666666666,0.9054090354090354,0.9153968253968253,0.9142857142857143
42,11,0.9066666666666666,0.9054090354090354,0.9153968253968253,0.9142857142857143
42,12,0.9066666666666666,0.9054090354090354,0.9153968253968253,0.9142857142857143
42,13,0.9066666666666666,0.9054090354090354,0.9153968253968253,0.9142857142857143
42,14,0.9066666666666666,0.9054090354090354,0.9153968253968253,0.9142857142857143
42,15,0.9066666666666666,0.9054090354090354,0.9153968253968253,0.9142857142857143
42,16,0.9066666666666666,0.9054090354090354,0.9153968253968253,0.9142857142857143
42,17,0.9066666666666666,0.9054090354090354,0.9153968253968253,0.9142857142857143
42,18,0.9066666666666666,0.9054090354090354,0.9153968253968253,0.9142857142857143
42,19,0.9066666666666666,0.9054090354090354,0.9153968253968253,0.9142857142857143
42,20,0.9066666666666666,0.9054090354090354,0.9153968253968253,0.9142857142857143
