Split Seed,N_estimators,Depth of Tree,Mean Accuracy,Mean F1 Score,Mean Precision,Mean Recall
42,10,2,0.9200000000000002,0.9145295445295446,0.9360317460317461,0.9215873015873015
42,10,3,0.9066666666666668,0.9033407333407333,0.9265079365079366,0.9104761904761904
42,10,4,0.9200000000000002,0.9145295445295446,0.9360317460317461,0.9215873015873015
42,10,5,0.9200000000000002,0.9145295445295446,0.9360317460317461,0.9215873015873015
42,10,6,0.9200000000000002,0.9145295445295446,0.9360317460317461,0.9215873015873015
42,10,7,0.9200000000000002,0.9145295445295446,0.9360317460317461,0.9215873015873015
42,10,8,0.9200000000000002,0.9145295445295446,0.9360317460317461,0.9215873015873015
42,10,9,0.9200000000000002,0.9145295445295446,0.9360317460317461,0.9215873015873015
42,10,10,0.9200000000000002,0.9145295445295446,0.9360317460317461,0.9215873015873015
42,10,11,0.9200000000000002,0.9145295445295446,0.9360317460317461,0.9215873015873015
42,10,12,0.9200000000000002,0.9145295445295446,0.9360317460317461,0.9215873015873015
42,10,13,0.9200000000000002,0.9145295445295446,0.9360317460317461,0.9215873015873015
42,10,14,0.9200000000000002,0.9145295445295446,0.9360317460317461,0.9215873015873015
42,10,15,0.9200000000000002,0.9145295445295446,0.9360317460317461,0.9215873015873015
42,10,16,0.9200000000000002,0.9145295445295446,0.9360317460317461,0.9215873015873015
42,10,17,0.9200000000000002,0.9145295445295446,0.9360317460317461,0.9215873015873015
42,10,18,0.9200000000000002,0.9145295445295446,0.9360317460317461,0.9215873015873015
42,10,19,0.9200000000000002,0.9145295445295446,0.9360317460317461,0.9215873015873015
42,10,20,0.9200000000000002,0.9145295445295446,0.9360317460317461,0.9215873015873015
42,50,2,0.9333333333333333,0.9330769230769231,0.9415873015873016,0.946031746031746
42,50,3,0.9200000000000002,0.9207770007770009,0.9265079365079366,0.9293650793650794
42,50,4,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,50,5,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,50,6,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,50,7,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,50,8,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,50,9,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,50,10,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,50,11,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,50,12,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,50,13,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,50,14,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,50,15,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,50,16,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,50,17,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,50,18,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,50,19,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,50,20,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,100,2,0.9333333333333333,0.9319658119658121,0.9360317460317461,0.9404761904761905
42,100,3,0.9333333333333333,0.9319658119658121,0.9360317460317461,0.9404761904761905
42,100,4,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,100,5,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,100,6,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,100,7,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,100,8,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,100,9,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,100,10,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,100,11,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,100,12,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,100,13,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,100,14,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,100,15,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,100,16,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,100,17,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,100,18,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,100,19,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,100,20,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
42,150,2,0.9199999999999999,0.9215873015873017,0.924920634920635,0.9293650793650794
42,150,3,0.9333333333333333,0.9319658119658121,0.9360317460317461,0.9404761904761905
42,150,4,0.9333333333333333,0.9279975579975581,0.9471428571428572,0.9349206349206349
