Split Seed,N_estimators,Depth of Tree,Mean Accuracy,Mean F1 Score,Mean Precision,Mean Recall
42,50,10,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,50,11,0.8933333333333333,0.8728681552365763,0.8890800865800866,0.8758333333333332
42,50,12,0.9066666666666666,0.8872222222222224,0.8990800865800865,0.8925000000000001
42,50,13,0.8933333333333333,0.8686728184096605,0.8941666666666667,0.8691666666666666
42,50,14,0.8800000000000001,0.8552491076175286,0.8822619047619046,0.8591666666666666
42,50,15,0.8800000000000001,0.8552491076175286,0.8822619047619046,0.8591666666666666
42,50,16,0.8800000000000001,0.8552491076175286,0.8822619047619046,0.8591666666666666
42,50,17,0.8800000000000001,0.8552491076175286,0.8822619047619046,0.8591666666666666
42,50,18,0.8800000000000001,0.8552491076175286,0.8822619047619046,0.8591666666666666
42,50,19,0.8800000000000001,0.8552491076175286,0.8822619047619046,0.8591666666666666
42,50,20,0.8800000000000001,0.8552491076175286,0.8822619047619046,0.8591666666666666
42,100,2,0.9199999999999999,0.9092346148639056,0.9182467532467534,0.9216666666666666
42,100,3,0.9199999999999999,0.9092346148639056,0.9182467532467534,0.9216666666666666
42,100,4,0.9066666666666666,0.8959012815305721,0.9057467532467534,0.9091666666666667
42,100,5,0.9066666666666666,0.8959012815305721,0.9057467532467534,0.9091666666666667
42,100,6,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,100,7,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,100,8,0.9066666666666666,0.8959012815305721,0.9057467532467534,0.9091666666666667
42,100,9,0.9199999999999999,0.909324992322704,0.9176515151515152,0.9191666666666667
42,100,10,0.9199999999999999,0.9039585326953749,0.9349592074592076,0.8941666666666667
42,100,11,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,100,12,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,100,13,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,100,14,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,100,15,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,100,16,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,100,17,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,100,18,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,100,19,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,100,20,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,150,2,0.8800000000000001,0.8569808949220714,0.8822871572871573,0.8573809523809525
42,150,3,0.9199999999999999,0.9092346148639056,0.9182467532467534,0.9216666666666666
42,150,4,0.9066666666666666,0.8959012815305721,0.9057467532467534,0.9091666666666667
42,150,5,0.9066666666666666,0.8959012815305721,0.9057467532467534,0.9091666666666667
42,150,6,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,150,7,0.8933333333333333,0.8728394850763272,0.8866991341991343,0.871547619047619
42,150,8,0.9199999999999999,0.909324992322704,0.9176515151515152,0.9191666666666667
42,150,9,0.9199999999999999,0.909324992322704,0.9176515151515152,0.9191666666666667
42,150,10,0.9199999999999999,0.9039585326953749,0.9349592074592076,0.8941666666666667
42,150,11,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,150,12,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,150,13,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,150,14,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,150,15,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,150,16,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,150,17,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,150,18,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,150,19,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,150,20,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,1000,2,0.9066666666666666,0.8956599542304213,0.9071356421356421,0.9073809523809524
42,1000,3,0.9066666666666666,0.8956599542304213,0.9071356421356421,0.9073809523809524
42,1000,4,0.8933333333333333,0.8824489005781911,0.891461038961039,0.8948809523809524
42,1000,5,0.8800000000000001,0.8594157742841955,0.8747943722943724,0.861547619047619
42,1000,6,0.8933333333333333,0.8728394850763272,0.8866991341991343,0.871547619047619
42,1000,7,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,1000,8,0.8933333333333333,0.8728394850763272,0.8866991341991343,0.871547619047619
42,1000,9,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,1000,10,0.9066666666666666,0.8905061517429939,0.9206734931734932,0.8798809523809524
42,1000,11,0.8933333333333333,0.8728394850763272,0.8866991341991343,0.871547619047619
42,1000,12,0.8933333333333333,0.8728394850763272,0.8866991341991343,0.871547619047619
42,1000,13,0.8933333333333333,0.8728394850763272,0.8866991341991343,0.871547619047619
42,1000,14,0.8933333333333333,0.8728394850763272,0.8866991341991343,0.871547619047619
42,1000,15,0.8933333333333333,0.8728394850763272,0.8866991341991343,0.871547619047619
42,1000,16,0.8933333333333333,0.8728394850763272,0.8866991341991343,0.871547619047619
42,1000,17,0.8933333333333333,0.8728394850763272,0.8866991341991343,0.871547619047619
42,1000,18,0.8933333333333333,0.8728394850763272,0.8866991341991343,0.871547619047619
42,1000,19,0.8933333333333333,0.8728394850763272,0.8866991341991343,0.871547619047619
42,1000,20,0.8933333333333333,0.8728394850763272,0.8866991341991343,0.871547619047619
